DATHOUR,consumer_price,supplier_price,consumer_volume,supplier_volume
2017-09-03,1285.1175,1227.5791666666669,1839460.755,1897766.927
2017-09-04,1337.7170833333334,1248.87375,1923114.056,1987051.9
2017-09-05,1225.4683333333337,1158.565833333333,1938243.977,2003308.847
2017-09-06,1272.3595833333334,1205.08625,1936932.269,2000897.214
2017-09-07,1296.4945833333334,1228.6991666666663,1940527.898,2008109.714
2017-09-08,1291.6041666666667,1225.03875,1946264.855,2016224.207
2017-09-09,1304.90875,1240.128333333333,1886452.218,1950539.3950000005
2017-09-10,1255.2854166666666,1200.5141666666666,1859197.328000001,1920680.298
2017-09-11,1356.9875,1294.526666666667,1949045.944,2012232.978
2017-09-12,1374.6545833333334,1310.6458333333333,1967800.058,2031786.826
2017-09-13,1335.665,1274.1541666666667,1965602.493,2030659.262
2017-09-14,1313.9175,1238.4808333333333,1966640.0320000004,2037944.202
2017-09-15,1309.506666666667,1239.2125,1961750.658,2030576.46
2017-09-16,1306.0395833333334,,1897267.89,1962405.092
2017-09-17,,1247.0650000000005,1877972.3350000004,1938667.563
2017-09-18,1312.1137499999998,1246.1095833333334,1961224.025,2024361.158
2017-09-19,1347.3570833333329,1279.1687499999996,1972834.591,2038212.822
2017-09-20,1334.23875,1265.1779166666668,1977991.646,2044170.4520000005
2017-09-21,1304.149583333333,1235.037916666667,1992108.463,2056090.338
2017-09-22,1319.3183333333334,1250.1125000000004,1996176.169,2060951.433
2017-09-23,1301.6604166666666,,1938859.895,2002966.666
2017-09-24,1229.5495833333334,1174.4483333333335,1917096.786,1980153.454
2017-09-25,,1237.81625,2010835.77,2080902.151
2017-09-26,1308.84,1245.5725,2022688.635,2089653.387
2017-09-27,1287.4341666666671,1221.2333333333331,,2105945.389
2017-09-28,1308.8479166666666,1241.3204166666667,2062706.048,2127237.821
2017-09-29,1331.1295833333334,1262.4175,2073860.9420000005,2140333.812
2017-09-30,1275.1220833333334,1217.247916666667,2018900.0400000005,2084357.644
2017-10-01,1222.425833333333,1168.2279166666667,2006362.75,2070302.028
2017-10-02,1329.885,1266.5091666666665,2109627.789,2178912.129
2017-10-03,,1254.9212499999996,2132571.215,2201069.845
2017-10-04,1330.602083333333,1269.9479166666663,2140946.992,2213147.3920000005
2017-10-05,1359.2725,1288.6916666666666,2144233.711000001,2213983.833
2017-10-06,1326.18625,1256.152916666667,,2208380.1550000003
2017-10-07,1353.8762500000005,1300.133333333333,2071917.871,2137956.978
2017-10-08,1244.9779166666667,1191.9608333333335,2041415.034,2107336.4230000004
2017-10-09,1264.98625,1197.33125,2123472.802,2196815.9050000007
2017-10-10,1276.3504166666671,1217.4304166666666,2121891.947,2191946.489
2017-10-11,1245.739166666667,1185.1558333333332,2119934.53,2190864.64
2017-10-12,1245.3887499999996,1188.0216666666668,2127141.739,
2017-10-13,1258.3774999999996,1199.0458333333331,2126359.7920000004,
2017-10-14,1271.90875,1211.6554166666667,2074412.707,2144171.027
2017-10-15,1209.7595833333332,1156.027916666667,2054578.2150000003,2120742.8919999995
2017-10-16,1235.40625,1174.2416666666668,2130820.145,2202819.4680000003
2017-10-17,1179.5295833333334,1120.5608333333332,2128463.622,
2017-10-18,1192.4075000000005,1132.4075,2130411.956000001,2206682.935
2017-10-19,1238.8258333333335,1178.347083333333,2140118.731,2212807.016
2017-10-20,1285.3204166666665,1224.6779166666663,2153350.4220000003,2223200.736
2017-10-21,1246.6866666666665,1189.4370833333337,2115172.7320000003,2183044.616
2017-10-22,,1176.9858333333334,2103585.4830000005,2169175.595
2017-10-23,1306.8045833333333,1248.312083333333,2199256.986,2269295.668
2017-10-24,1291.5962499999996,1245.3525000000004,2215605.0509999995,2285966.034
2017-10-25,1292.9287500000005,1243.66125,2221884.493,2294299.590000001
2017-10-26,1247.1629166666671,1197.7137500000003,2242236.3070000005,2316784.754
2017-10-27,1297.05875,1243.0616666666667,,2326102.876
2017-10-28,1202.1066666666668,1150.884166666667,2189140.752,2257701.907
2017-10-29,1186.0816666666667,1140.8958333333333,2153025.271,2218613.348
2017-10-30,1262.5329166666668,1201.33875,2235437.1650000005,2306056.753
2017-10-31,1257.0808333333334,1195.5849999999996,2245955.272,2320167.037
2017-11-01,1213.2870833333334,1152.0224999999996,2246855.743,2323411.891
2017-11-02,1268.9800000000002,1216.2629166666666,,2325321.781000001
2017-11-03,1282.14875,1228.444166666667,2253034.8349999995,2321386.4909999995
2017-11-04,1211.0454166666666,,2176936.3549999995,
2017-11-05,1151.8175,1102.0704166666667,2149634.319,2216231.1610000003
2017-11-06,1130.8366666666668,1079.5174999999997,2153532.1980000003,2222000.469000001
2017-11-07,1180.6045833333335,1113.6425,2230560.2380000004,2301989.532
2017-11-08,1148.550833333333,1086.9808333333333,2235860.815,2307606.661
2017-11-09,1188.700833333333,1125.2779166666664,2252403.899,2325273.472
2017-11-10,1248.475,1182.2225,2251368.345,2326999.898
2017-11-11,1202.031666666667,1138.7616666666663,2181575.449,2253049.7530000005
2017-11-12,1146.5620833333337,1088.3033333333333,2156218.201,2229341.072
2017-11-13,1207.12875,1138.3833333333334,2244994.802,2325452.35
2017-11-14,1215.3220833333337,1150.3375,2256389.149,2336474.447
2017-11-15,1221.4608333333333,1138.4504166666666,2262682.7300000004,2343657.313
2017-11-16,1246.4120833333334,1152.29375,2269269.1960000005,2348748.563
2017-11-17,1211.44375,1148.3083333333334,2271866.169,2351275.694000001
2017-11-18,1232.8679166666668,1171.999583333333,2227664.3150000004,2305647.003
2017-11-19,1120.1666666666667,1067.279166666667,2193087.701,2271343.8859999995
2017-11-20,,1155.1974999999998,2270024.0220000003,2352989.0300000003
2017-11-21,1178.2191666666668,1109.8979166666666,,2352436.853
2017-11-22,1173.2445833333334,1110.4395833333335,2279547.5570000005,2360597.3589999992
2017-11-23,1189.1216666666671,1126.6683333333333,2304047.6760000004,2388115.581
2017-11-24,1198.3166666666666,1126.9504166666668,2318381.716,2402940.06
2017-11-25,1121.9808333333335,1067.5095833333332,2276642.569,2358227.469
2017-11-26,1066.0220833333333,1012.1208333333334,2255766.688,2335001.367
2017-11-27,1182.783333333333,,2344369.964,2429619.761
2017-11-28,1193.7366666666671,,2355656.867000001,2439266.61
2017-11-29,1180.9479166666667,1117.2699999999998,2372941.0080000004,2458072.241
2017-11-30,,,2378243.45,2461855.576
2017-12-01,1171.919583333333,1104.1525,2368752.2290000003,2457031.001
2017-12-02,1182.3908333333334,1107.1266666666666,,2384348.143000001
2017-12-03,1135.8233333333335,1065.015,2275103.716,2354367.619
2017-12-04,1202.4425,1125.4729166666664,2358159.758,2437761.859
2017-12-05,1196.4833333333331,1134.56625,2364055.704,2441689.612000001
2017-12-06,1169.74,1107.3954166666667,2364560.333,2444582.076
2017-12-07,1129.607083333333,1062.8375,2372111.079,2455988.958
2017-12-08,,1096.840416666667,2378987.117,
2017-12-09,1134.5004166666668,1074.6312499999997,2307158.161,2384482.772
2017-12-10,1094.9670833333332,1039.3429166666665,2277935.1019999995,2353382.37
2017-12-11,1175.0879166666666,1113.06,2356966.6040000003,2437045.676
2017-12-12,1193.2133333333334,1132.8029166666668,2367827.83,2446767.047
2017-12-13,1188.3899999999996,1128.465416666667,2360134.941,2438570.449
2017-12-14,1211.774583333333,1149.5654166666668,2371149.187,2449459.395
2017-12-15,1250.6245833333337,1180.2358333333334,2370375.9,2446958.313
2017-12-16,1261.6658333333337,1192.4016666666666,2321815.3340000003,
2017-12-17,1150.600416666667,1087.9725,2289626.97,2367457.029
2017-12-18,1158.6587499999996,1102.265,2371539.871,2450374.848
2017-12-19,1152.9020833333334,1091.5845833333335,2376921.480999999,2455494.0080000004
2017-12-20,1153.90875,1098.9275,2386083.179,2467081.839000001
2017-12-21,1139.5637499999998,1083.8179166666666,,2468151.766
2017-12-22,1165.772916666667,1109.09375,2396993.1270000003,2483540.9590000003
2017-12-23,1119.0229166666666,1063.455416666667,2329614.208,2411201.3349999995
2017-12-24,989.59625,933.2879166666668,2285888.73,2366303.723
2017-12-25,1155.377083333333,1099.6666666666667,2380873.534,2460226.683000001
2017-12-26,1150.7483333333332,1094.7245833333334,2381394.075,2459700.857
2017-12-27,1173.8666666666666,1116.7033333333334,2362031.87,2439782.5600000005
2017-12-28,1230.1429166666665,1163.0320833333335,2347242.4290000005,2425822.7320000003
2017-12-29,,1149.985,2310815.8349999995,2388281.597
2017-12-30,1208.6491666666666,1147.7000000000005,2243710.004000001,2320396.098
2017-12-31,1211.4579166666667,1155.4175000000002,2218132.4770000004,2290993.336
2018-01-01,978.2445833333333,,2086542.053,2152742.231
2018-01-02,1136.0358333333334,1084.852916666667,2127298.27,2195340.537
2018-01-03,1208.4379166666668,,2152166.028,2218395.552
2018-01-04,,1219.809166666667,2189520.1870000004,2255224.254
2018-01-05,1217.97375,1164.9287499999996,2208844.6040000003,2279442.8740000003
2018-01-06,1197.0454166666666,1142.4062499999998,2210686.978,2283558.208
2018-01-07,1165.41875,1111.7604166666667,2188232.845,
2018-01-08,1200.5779166666666,1144.1224999999995,2228860.537,2305690.4800000004
2018-01-09,1204.44375,1143.5241666666666,2335922.6380000003,2415278.8010000004
2018-01-10,1183.4037499999995,1124.25375,2350516.759,2430570.578999999
2018-01-11,1160.8841666666667,1101.44875,2367556.2630000003,2448608.912
2018-01-12,1124.7654166666666,1065.37875,2392709.978,2472416.079
2018-01-13,1139.1129166666667,1080.4191666666668,2358719.0820000004,2436772.0989999995
2018-01-14,1099.6008333333334,1042.16375,2337497.247,2412717.089
2018-01-15,,1102.8016666666667,2401513.987,2480925.443
2018-01-16,1182.94375,1123.2074999999998,2404844.063,2483940.145
2018-01-17,1272.8945833333337,1206.8041666666666,2418880.146000001,
2018-01-18,1220.8170833333334,1154.9562500000004,,2508182.197
2018-01-19,1237.4904166666668,1180.95625,2433625.669,2513796.9280000003
2018-01-20,1262.6241666666665,1192.4016666666666,2378742.4,2457885.932000001
2018-01-21,1188.6249999999998,1123.0475,2352039.804,2432024.88
2018-01-22,1242.4625,1181.9054166666667,2449660.575,2529705.29
2018-01-23,1262.0141666666666,1197.7466666666662,2462829.9170000004,2541444.221
2018-01-24,1266.38,1211.2570833333334,2465647.585,2545702.9220000003
2018-01-25,1204.1274999999996,1143.2741666666668,2466993.712,
2018-01-26,1253.0191666666667,1195.6104166666669,2459908.269000001,2540880.536
2018-01-27,1213.23375,1158.4904166666668,2395728.066,
2018-01-28,1098.5991666666666,1042.2908333333332,2360320.7490000003,2442977.563
2018-01-29,1242.36125,1182.1408333333334,2441976.007,2529811.129000001
2018-01-30,1212.8941666666667,1145.77375,2424704.8230000003,2512103.495
2018-01-31,1215.4433333333334,,2433999.884,2523120.745
2018-02-01,1213.8658333333333,1142.7454166666666,2444619.207,2530259.1789999995
2018-02-02,1237.7525,1160.1295833333334,2436068.881,2518382.767
2018-02-03,1219.5141666666668,1151.43,2359955.6040000003,2435484.635
2018-02-04,1210.7858333333334,1140.8083333333334,2328843.705,2401097.3340000003
2018-02-05,1274.5183333333332,1216.6554166666665,2416417.512,2492510.98
2018-02-06,1162.5791666666669,1105.7754166666666,2420135.82,2497467.426
2018-02-07,1131.496666666667,1066.5258333333334,2420592.193,2500430.294
2018-02-08,1126.39375,1055.7183333333337,2419821.669,2500586.457
2018-02-09,1166.714583333333,1096.88,2421413.147000001,2504114.835
2018-02-10,1133.7408333333335,1058.9479166666663,2360288.756,2441148.946
2018-02-11,,996.3608333333332,2322069.846,2396032.973
2018-02-12,1145.0695833333332,1069.7925000000002,,2498311.907000001
2018-02-13,1128.74875,1065.36125,2420768.331,2502455.674
2018-02-14,1165.8837500000004,1092.3395833333334,2424109.648,2507663.8370000003
2018-02-15,1143.62875,1086.3016666666667,2425706.665,2508942.879
2018-02-16,1154.6362500000002,1083.7958333333331,2419265.0330000003,2500572.571
2018-02-17,1152.6075,1079.6525,2354220.983,2431648.828
2018-02-18,1123.9720833333329,1051.9237499999997,2325546.414,2402275.4969999995
2018-02-19,1213.78125,1148.06875,2405262.626,2484010.848
2018-02-20,1226.8779166666666,1163.571666666667,2413646.62,
2018-02-21,1224.6970833333337,1160.3437499999998,2433674.83,2516969.101
2018-02-22,1189.843333333333,1125.0658333333329,2435402.646,2518612.331
2018-02-23,1113.665,1046.8758333333335,2364326.3039999995,2442214.001
2018-02-24,1160.9845833333334,1094.71,2386715.365,2467483.896
2018-02-25,1086.3095833333334,,2376899.312,2454568.8380000005
2018-02-26,1150.9841666666666,,2475141.381,
2018-02-27,1163.8066666666666,1104.7225,2486528.419,2574518.3040000005
2018-02-28,1173.6624999999997,1114.871666666667,2488546.7610000004,
2018-03-01,1145.799166666667,1078.3862499999998,2478650.6610000003,2570559.43
2018-03-02,1168.378333333333,1107.2391666666665,2471976.034,2565096.444
2018-03-03,1210.2104166666666,1144.255,2391401.249,2478001.393000001
2018-03-04,1162.3475,1099.5641666666668,2365583.2750000004,2452390.62
2018-03-05,1243.7737500000003,1175.32875,2446175.592000001,2538639.978
2018-03-06,1214.9425,1154.6866666666667,2446365.2980000004,
2018-03-07,1209.1820833333334,1150.118333333333,2418190.953,2503501.933
2018-03-08,1145.855,1095.428333333333,2330629.676,2413981.2750000004
2018-03-09,1187.7958333333331,1134.935,2329220.464,2410004.4199999995
2018-03-10,1123.0737499999998,1068.5458333333331,2332709.3150000004,2410712.2860000003
2018-03-11,1039.4645833333334,985.3820833333334,2324150.305,2403423.64
2018-03-12,,1047.6691666666668,2391119.3489999995,2478157.137000001
2018-03-13,1100.2799999999995,1040.4808333333333,2381337.89,2466282.6070000003
2018-03-14,1159.2175000000004,1097.0395833333334,2371928.6670000004,2458002.402
2018-03-15,1179.8066666666666,1116.969166666667,2369095.0940000005,
2018-03-16,1184.03625,1120.01,2376118.805,2462527.1240000003
2018-03-17,1107.8750000000002,1055.4420833333336,2310745.755,2393225.21
2018-03-18,1053.5170833333334,1001.585,2278274.6580000003,2358995.53
2018-03-19,1150.3825,1092.3608333333334,2357891.574,2442912.952
2018-03-20,1155.2787500000004,1096.8395833333334,2356035.0930000003,2442065.856
2018-03-21,1173.4491666666668,1116.5204166666665,2351770.7290000003,2436892.63
2018-03-22,1188.2804166666667,,2348857.2180000003,2432704.728
2018-03-23,1211.9887500000002,1145.3491666666666,2332915.171,2417612.833
2018-03-24,1168.659583333333,1111.7416666666666,2280409.899,2363805.742
2018-03-25,1162.3675,1099.6158333333333,,2337745.278
2018-03-26,,1162.935,2305464.972,2390732.7690000003
2018-03-27,1180.3175,1108.7266666666667,2292416.0140000004,2377002.923
2018-03-28,1216.1833333333334,1149.1891666666668,2296188.2169999992,2379156.629
2018-03-29,1160.6879166666663,1101.7241666666666,2299002.055,2382424.156999999
2018-03-30,1162.9645833333334,1099.0320833333333,2282655.761000001,2366532.8770000003
2018-03-31,1209.7554166666666,1149.5429166666663,,2295936.116
2018-04-01,1228.4487500000002,1170.65,2186922.8040000005,2260910.672
2018-04-02,1342.5741666666663,1259.888333333333,2241509.197,2318312.675
2018-04-03,1254.144583333333,1150.7620833333333,2230398.8060000003,2304279.419
2018-04-04,1363.7316666666666,1300.987916666667,2208302.669,2285455.318
2018-04-05,1303.63375,1247.7983333333334,2194597.1810000003,2263873.427
2018-04-06,1327.6154166666663,1262.8033333333335,2182302.395,2258586.94
2018-04-07,1393.435416666667,1319.989166666667,2131751.182,2208675.447000001
2018-04-08,1223.310416666667,1167.1066666666666,2075832.486,2148246.622
2018-04-09,1318.5795833333334,1254.2837499999996,2150364.145,2224013.189
2018-04-10,,1204.18375,2116823.2240000004,2187175.333
2018-04-11,1190.0354166666666,1140.60375,2113069.782,2185642.801
2018-04-12,1162.341666666667,1063.32625,2117217.967,2194110.509
2018-04-13,1159.0837500000002,1080.2504166666668,2110922.3230000003,2191561.799
2018-04-14,1087.4099999999996,1028.70625,2064408.329,2138999.592
2018-04-15,,893.7266666666666,2016042.493,2089355.493
2018-04-16,1144.0879166666666,1085.2229166666664,2078376.02,2148706.909
2018-04-17,1207.6270833333335,1146.7170833333332,2071253.329,2138644.754
2018-04-18,1273.7975,1208.66,2060754.037,2130403.651
2018-04-19,1229.4550000000004,1165.575833333333,2061501.689,2135292.255000001
2018-04-20,1170.19125,1106.384583333333,2074277.071,2152402.107
2018-04-21,1233.8154166666668,1170.5370833333334,2027206.057,2101266.904000001
2018-04-22,,1118.5408333333332,2000983.781,2072665.295
2018-04-23,1224.9200000000003,1160.79375,2080901.982,2155565.1590000005
2018-04-24,1286.8916666666669,1220.2941666666666,2078787.882,2150867.778
2018-04-25,1248.2370833333334,1158.5525,2078271.943,2153006.885
2018-04-26,1221.4775000000004,,2068059.388,
2018-04-27,1242.8195833333332,1159.8645833333333,,2129488.969
2018-04-28,1256.3308333333334,1187.1295833333334,,2103147.563
